Vendor Code,Master SKU,SKU,Channel,Channel SKU,Identifier,Status (Active / Inactive)
204-QMQ,IM190486Q Girls Leather skirt Brown White 3,Q Girls Leather skirt Brown White 3,Amazon,Q Girls Leather skirt Brown White 3,B0D9P67DVD,Active
204-QMQ,IM168396Ice-Cream Top and Skirt Pink 4,Ice-Cream Top and Skirt Pink 4,Amazon,Ice-Cream Top and Skirt Pink 4,B0CSFNXL14,Active
204-QMQ,IM168331Blur Lining Suit Gray-4,Blur Lining Suit Gray-4,Amazon,Blur Lining Suit Gray-4,B0CRVBGYZV,Active
204-QMQ,IM190382Q YELLO LEAF LEGI 2,Q YELLO LEAF LEGI 2,Amazon,Q YELLO LEAF LEGI 2,B0D9Y25H5M,Active
204-QMQ,IM190333Q Ice-Cream Top and Skirt Pink 7,Q Ice-Cream Top and Skirt Pink 7,Amazon,Q Ice-Cream Top and Skirt Pink 7,B0D9NWJX2Y,Active
204-QMQ,IM168387Ice-Cream Top and Skirt Light Green 2,Ice-Cream Top and Skirt Light Green 2,Amazon,Ice-Cream Top and Skirt Light Green 2,B0CSFP35PT,Active
204-QMQ,IM190501Q LEATHER SKIRT Pink-Black 8,Q LEATHER SKIRT Pink-Black 8,Amazon,Q LEATHER SKIRT Pink-Black 8,B0D9NY2CBZ,Active
204-QMQ,IM190470Q YELLO LEAF LEGI 6,Q YELLO LEAF LEGI 6,Amazon,Q YELLO LEAF LEGI 6,B0D9Y45BJ4,Active
204-QMQ,IM190421Q KING HUDI YELLOW 3,Q KING HUDI YELLOW 3,Amazon,Q KING HUDI YELLOW 3,B0D9W53GMB,Active
204-QMQ,IM190365Q Colorful Top Denim pant 3,Q Colorful Top Denim pant 3,Amazon,Q Colorful Top Denim pant 3,B0D9Y4327X,Active
204-QMQ,IM190452Q Yellow Unicorn Top-Skirt 5,Q Yellow Unicorn Top-Skirt 5,Amazon,Q Yellow Unicorn Top-Skirt 5,B0D9NZ1CFB,Active
204-QMQ,IM190471Q Girls Leather skirt Brown-Velvet Red 3,Q Girls Leather skirt Brown-Velvet Red 3,Amazon,Q Girls Leather skirt Brown-Velvet Red 3,B0D9NX5QY5,Active
204-QMQ,IM190323Q GREEN LEAF LEGI 2,Q GREEN LEAF LEGI 2,Amazon,Q GREEN LEAF LEGI 2,B0D9Y33WX3,Active
204-QMQ,IM190386Q Pocket Skirt top Black 8,Q Pocket Skirt top Black 8,Amazon,Q Pocket Skirt top Black 8,B0D9NXN9HC,Active
204-QMQ,IM190325Q Bubble Top & Short L YELLO 3,Q Bubble Top & Short L YELLO 3,Amazon,Q Bubble Top & Short L YELLO 3,B0D9Y3R27R,Active
204-QMQ,IM168352Girls Leather skirt Brown-Black 6,Girls Leather skirt Brown-Black 6,Amazon,Girls Leather skirt Brown-Black 6,B0CQC4TSKP,Active
204-QMQ,IM190329Q GREEN LEAF LEGI 7,Q GREEN LEAF LEGI 7,Amazon,Q GREEN LEAF LEGI 7,B0D9Y5JNMX,Active
204-QMQ,IM190426Q Girls Leather skirt Brown-Black 4,Q Girls Leather skirt Brown-Black 4,Amazon,Q Girls Leather skirt Brown-Black 4,B0D9BHRQ6W,Active
204-QMQ,IM168411King Hoodie t-shirt Yellow 5,King Hoodie t-shirt Yellow 5,Amazon,King Hoodie t-shirt Yellow 5,B0CR6M8KLZ,Active
204-QMQ,IM168337Checks Suit Dark Blue-2,Checks Suit Dark Blue-2,Amazon,Checks Suit Dark Blue-2,B0CRVJ1NNP,Active
204-QMQ,IM190485Q Ice-Cream Top and Skirt Light Green 4,Q Ice-Cream Top and Skirt Light Green 4,Amazon,Q Ice-Cream Top and Skirt Light Green 4,B0D9NYX3HF,Active
204-QMQ,IM190373Q Yellow Unicorn Top-Skirt 6,Q Yellow Unicorn Top-Skirt 6,Amazon,Q Yellow Unicorn Top-Skirt 6,B0D9NZ78NL,Active
204-QMQ,IM190375Q GREEN LEAF LEGI 6,Q GREEN LEAF LEGI 6,Amazon,Q GREEN LEAF LEGI 6,B0D9Y5CW5W,Active
204-QMQ,IM190390Q WESNOA T ORANGE GRY 3,Q WESNOA T ORANGE GRY 3,Amazon,Q WESNOA T ORANGE GRY 3,B0D9W3QHLL,Active
